web-scraper-order,web-scraper-start-url,product-link,product-link-href,ad-id,Images,title,location,map-link,map-link-href,type,bedrooms,bathrooms,price,utilities,wifi,parking,agreement-type,move-in-date,pet-friendly,size,furnished,appliances,air-conditioning,person-outdoor-space,smoking,Posted-by,Posted-on,hydro,Heat,water,amenities
1655189050-6487,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,APPARTEMENT A  LOUER,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer/1620951701,Ad ID 1620951701,null,APPARTEMENT A  LOUER,"Avenue Jubinville, Montréal-Nord, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer/1620951701#map,Duplex/Triplex,Bedrooms: 2,Bathrooms: 1,$850 ,HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,750,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Outdoors only,Batisseurs Meemo,2 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",null
1655182751-4389,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Humaniti Montreal - 2 Bedroom Apartment for Rent,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/humaniti-montreal-2-bedroom-apartment-for-rent/1512140688,Ad ID 1512140688,null,Humaniti Montreal - 2 Bedroom Apartment for Rent,"1020 de Bleury street, Montreal, QC, H3A 2H7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/humaniti-montreal-2-bedroom-apartment-for-rent/1512140688#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$2,905 ",HydroHeatWater,Internet,0,1 Year,29-Dec-20,null,818,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Humaniti Montreal,10 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolStorage SpaceElevator in Building
1655183546-4660,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Appartements Clanranald: Apartment for rent in Hampstead - Montr,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartements-clanranald:-apartment-for-rent-in-hampstead-montr/1611920409,Ad ID 1611920409,null,Appartements Clanranald: Apartment for rent in Hampstead - Montr,"5051 avenue Clanranald, Montreal, QC, H3X 2S2",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartements-clanranald:-apartment-for-rent-in-hampstead-montr/1611920409#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,749 ",HydroHeatWater,Not Included,0,1 Year,31-Aug-22,null,800,No,AppliancesNot Included,Yes,Personal Outdoor SpaceNot Included,No,Appartements Clanranald,8 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesElevator in Building
1655183852-4762,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,2 bedroom ( 4 1.2)  - SUBLEASE in July - metro Namur,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bedroom-4-1-2-sublease-in-july-metro-namur/1619675479,Ad ID 1619675479,7,2 bedroom ( 4 1.2)  - SUBLEASE in July - metro Namur,"Mount Royal, QC H4P",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bedroom-4-1-2-sublease-in-july-metro-namur/1619675479#map,Apartment,Bedrooms: 2 + Den,Bathrooms: 1,"$1,760 ",HydroHeatWater,Cable / TV,0,1 Year,16-Jul-22,null,744,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Valeria,8 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655189551-6653,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Grand appartement, 3e, 3 chambres, Plateau Est, très ensoleillé",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-appartement-3e-3-chambres-plateau-est-tres-ensoleille/1621010946,Ad ID 1621010946,7,"Grand appartement, 3e, 3 chambres, Plateau Est, très ensoleillé","3427 Rue D'Iberville, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-appartement-3e-3-chambres-plateau-est-tres-ensoleille/1621010946#map,Apartment,Bedrooms: 4,Bathrooms: 1,"$1,900 ",Not Included,Not Included,1,1 Year,01-Sep-22,null,"1,075",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Romain,2 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesBicycle Parking
1655184875-5099,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Superbe 3 1/2 à louer - 5 mn à pied du Métro Beaudry .,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-3-1-2-a-louer-5-mn-a-pied-du-metro-beaudry/1620392497,Ad ID 1620392497,3,Superbe 3 1/2 à louer - 5 mn à pied du Métro Beaudry .,"Montréal, QC H2L 3H7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-3-1-2-a-louer-5-mn-a-pied-du-metro-beaudry/1620392497#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,100 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,460,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Outdoors only,bintou wann,6 days ago,null,Balcony,null,AmenitiesNot Included
1655185594-5342,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,**Petite-Italie*7160 Rue St-Laurent * Large Studio **Electro inc,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/petite-italie-7160-rue-st-laurent-large-studio-electro-inc/1616335057,Ad ID 1616335057,6,**Petite-Italie*7160 Rue St-Laurent * Large Studio **Electro inc,"Montreal, QC H2A 1C9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/petite-italie-7160-rue-st-laurent-large-studio-electro-inc/1616335057#map,Condo,Bedrooms: Bachelor/Studio,Bathrooms: 1,"$1,500 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,600,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,5 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesNot Included
1655181126-3823,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Maison 7 1/2 à louer ***HYDRO INCLUS***,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/maison-7-1-2-a-louer-hydro-inclus/1619338403,Ad ID 1619338403,7,Maison 7 1/2 à louer ***HYDRO INCLUS***,"Montréal, QC H1L 5G3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/maison-7-1-2-a-louer-hydro-inclus/1619338403#map,House,Bedrooms: 4 + Den,Bathrooms: 1,"$2,500 ",HydroHeatWater,Not Included,2,1 Year,01-Jul-22,null,875,No,AppliancesLaundry (In Unit),Yes,Personal Outdoor SpaceYard,No,Gabriel,13 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",null
1655190111-6838,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,**NEW ON MARKET CONDO RENT MONTREAL WITH PARKING & APPLIANCES**,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/new-on-market-condo-rent-montreal-with-parking-appliances/1621097635,Ad ID 1621097635,7,**NEW ON MARKET CONDO RENT MONTREAL WITH PARKING & APPLIANCES**,"Place de l'Acadie, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/new-on-market-condo-rent-montreal-with-parking-appliances/1621097635#map,Condo,Bedrooms: 2,Bathrooms: 1,"$1,850 ",Not Included,Not Included,1,1 Year,13-Jun-22,null,"1,000",No,AppliancesLaundry (In Unit),No,Personal Outdoor SpaceBalcony,No,Brian,a day ago,Laundry (In Unit),Balcony,Concierge,AmenitiesConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655185555-5329,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Appartement 4 1/2 à louer,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-4-1-2-a-louer/1620508370,Ad ID 1620508370,null,Appartement 4 1/2 à louer,"Verdun, QC H4G 2V1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-4-1-2-a-louer/1620508370#map,Apartment,Bedrooms: 2 + Den,Bathrooms: 1,"$1,150 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,800,No,AppliancesLaundry (In Unit)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Sas B,5 days ago,Laundry (In Unit),Balcony,null,AmenitiesNot Included
1655191552-7311,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,PRE METRO BEAUBIEN EST 4 1/2 RUE DROLET,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/pre-metro-beaubien-est-4-1-2-rue-drolet/1621183053,Ad ID 1621183053,7,PRE METRO BEAUBIEN EST 4 1/2 RUE DROLET,"6583 Rue Drolet, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/pre-metro-beaubien-est-4-1-2-rue-drolet/1621183053#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,300 ",Not Included,Not Included,1,1 Year,01-Aug-22,null,760,No,AppliancesLaundry (In Building)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Geovany,about 13 hours ago,null,Laundry (In Building),Dishwasher,AmenitiesNot Included
1655185527-5319,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Just off du Plateau,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/just-off-du-plateau/1620494685,Ad ID 1620494685,5,Just off du Plateau,"2408 Rue Parthenais, Montréal, QC H2K 3T5, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/just-off-du-plateau/1620494685#map,Apartment,Bedrooms: 1 + Den,Bathrooms: 1,Please Contact,Not Included,Not Included,0,1 Year,01-Jul-22,null,700,No,AppliancesLaundry (In Unit),No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,5 days ago,Laundry (In Unit),Balcony,null,AmenitiesNot Included
1655191983-7446,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Association des propriétaires du Québec,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/association-des-proprietaires-du-quebec/1621196651,Ad ID 1621196651,null,Association des propriétaires du Québec,"10720 Boulevard St-Laurent, Montréal, QC, H3L2P7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/association-des-proprietaires-du-quebec/1621196651#map,Apartment,Bedrooms: 1,Bathrooms: 1,Please Contact,Not Included,Not Included,Not Available,Not Available,null,null,Not Available,No,AppliancesNot Included,Not Available,Personal Outdoor SpaceNot Included,Not Available,Kijiji User,about 11 hours ago,null,null,null,AmenitiesNot Included
1655188759-6390,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Griffintown exalto condo two bedrooms for rent,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/griffintown-exalto-condo-two-bedrooms-for-rent/1620944538,Ad ID 1620944538,7,Griffintown exalto condo two bedrooms for rent,"195 Rue Peel, Montréal, QC H3C 2G6, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/griffintown-exalto-condo-two-bedrooms-for-rent/1620944538#map,Condo,Bedrooms: 2,Bathrooms: 1,"$1,850 ",HydroHeatWater,Not Included,1,1 Year,11-Jun-22,null,674,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,2 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655186262-5567,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Studio tout inclus / All included Studio - Downtown Montreal,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-tout-inclus-all-included-studio-downtown-montreal/1613949147,Ad ID 1613949147,9,Studio tout inclus / All included Studio - Downtown Montreal,"1593 rue Clark, Montréal, QC, H2X 2T1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-tout-inclus-all-included-studio-downtown-montreal/1613949147#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,"$1,090 ",HydroHeatWater,Internet,0,1 Year,01-Sep-22,null,400,No,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,No,Le Petit Laurent,5 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymBicycle ParkingElevator in Building
1655187880-6100,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3.5 à louer Iles des Soeurs/Nun's Island - 520 rue de Gaspé *Pri,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-a-louer-iles-des-soeurs-nuns-island-520-rue-de-gaspe-pri/1605145256,Ad ID 1605145256,null,3.5 à louer Iles des Soeurs/Nun's Island - 520 rue de Gaspé *Pri,"520 rue de Gaspé, Verdun, QC, H3E 1G1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-a-louer-iles-des-soeurs-nuns-island-520-rue-de-gaspe-pri/1605145256#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,399 ",HydroHeatWater,Not Included,0,1 Year,01-Oct-22,null,750,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Yes,PH 2 - 6,3 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",Amenities24 Hour SecurityStorage SpaceElevator in Building
1655188559-6324,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,McGill Getho 1 bedroom apt.,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/mcgill-getho-1-bedroom-apt/1620910480,Ad ID 1620910480,6,McGill Getho 1 bedroom apt.,"Montreal, QC H2X 2A7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/mcgill-getho-1-bedroom-apt/1620910480#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,108 ",HydroHeatWater,Not Included,0,Month-to-month,12-Jun-22,null,650,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,2 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesElevator in Building
1655189026-6479,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Apartment 41/2 is getting finalized  Available from June 20,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-41-2-is-getting-finalized-available-from-june-20/1620982145,Ad ID 1620982145,6,Apartment 41/2 is getting finalized  Available from June 20,"H8P 2N7, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-41-2-is-getting-finalized-available-from-june-20/1620982145#map,Condo,Bedrooms: 2,Bathrooms: 1,"$1,400 ",Not Included,Not Included,3+,1 Year,15-Jun-22,null,700,No,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,2 days ago,Laundry (In Unit),Laundry (In Building),Dishwasher,AmenitiesStorage Space
1655192745-7697,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4 1/2 Grand et Luxueux au bord de l'eau a Lasalle 1495$,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-grand-et-luxueux-au-bord-de-leau-a-lasalle-1495/1589245008,Ad ID 1589245008,null,4 1/2 Grand et Luxueux au bord de l'eau a Lasalle 1495$,"9379 boul. Lasalle, Lasalle, QC, H8R 2M8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-grand-et-luxueux-au-bord-de-leau-a-lasalle-1495/1589245008#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,495 ",HydroHeatWater,Not Included,0,1 Year,null,null,Not Available,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Yes,Riverside - #104,about 8 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPool
1655186742-5728,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Condo à louer 4 1/2 avec garage Plateau Mont-Royal,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-a-louer-4-1-2-avec-garage-plateau-mont-royal/1620649926,Ad ID 1620649926,7,Condo à louer 4 1/2 avec garage Plateau Mont-Royal,"Montréal, QC H2T 2E5",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-a-louer-4-1-2-avec-garage-plateau-mont-royal/1620649926#map,Condo,Bedrooms: 2,Bathrooms: 1,"$1,800 ",HydroHeatWater,Not Included,1,1 Year,06-Aug-22,null,865,No,AppliancesLaundry (In Unit)Dishwasher,No,Personal Outdoor SpaceBalcony,No,Marie-Hélène,4 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesBicycle ParkingStorage Space
